{name=爱知, url=/aichi}
{name=青森, url=/aomori}
{name=大城, url=/ayutthaya}
{name=奥胡斯, url=/arhus}
{name=亚美尼亚, url=/armenia}
{name=亚速尔群岛, url=/azores}
{name=阿姆利则, url=/amritsar}
{name=阿鲁沙, url=/arusha}
{name=亚的斯亚贝巴, url=/addisababa}
{name=奥地利, url=/austria}
{name=安哥拉, url=/angola}
{name=安圭拉, url=/anguilla}
{name=安提瓜和巴布达, url=/antigandbarbuda}
{name=安道尔, url=/andorra}
{name=亚琛, url=/aachen}
{name=奥格斯堡, url=/augsburg}
{name=阿马尔菲, url=/amalfi}
{name=阿西西, url=/assisi}
{name=阿卡罗阿, url=/akaroa}
{name=阿尔萨斯, url=/alsace}
{name=阿尔勒, url=/arles}
{name=阿讷西, url=/annecy}
{name=艾克斯, url=/aix}
{name=阿德莱德, url=/adelaide}
{name=阿波罗小镇, url=/apollobay}
{name=阿比斯库, url=/abisko}
{name=安曼, url=/amman}
{name=亚喀巴, url=/aqaba}
{name=亚特兰大, url=/atlanta}
{name=大西洋城, url=/atlanticcity}
{name=奥古斯塔, url=/augusta}
{name=安纳波利斯, url=/annapolis}
{name=奥尔巴尼, url=/albany}
{name=奥斯汀, url=/austin}
{name=安克雷奇, url=/anchorage}
{name=美属萨摩亚, url=/americansamoa}
{name=阿伯丁, url=/aberdeen}
{name=阿拉贡自治区, url=/aragon}
{name=阿维拉, url=/avila}
{name=阿塞拜疆, url=/azerbaijan}
{name=阿富汗, url=/afghanistan}
{name=阿尔及利亚, url=/algeria}
{name=阿尔巴尼亚, url=/albania}
{name=阿根廷, url=/argentina}
{name=阿联酋, url=/arabemirates}
{name=阿鲁巴, url=/aruba}
{name=鞍山, url=/anshan}
{name=宿州, url=/anhuisuzhou}
{name=安阳, url=/anyang}
{name=安庆, url=/anqing}
{name=阿坝, url=/aba}
{name=安顺, url=/anshun}
{name=阿勒泰地区, url=/aletaidiqu}
{name=阿克苏地区, url=/akesudiqu}
{name=安康, url=/ankang}
{name=阿里, url=/ali}
{name=阿拉尔, url=/alaer}
{name=阿拉善, url=/alashan}
{name=阿里山, url=/alishan}
{name=阿布扎比, url=/abudhabi}
{name=澳大利亚, url=/australia}
{name=奥克兰, url=/auckland}
{name=阿维尼翁, url=/avignon}
{name=奥兰多, url=/orlando}
{name=阿格拉, url=/agra}
{name=安特卫普, url=/antwerp}
{name=阿姆斯特丹, url=/amsterdam}
{name=安塔丽亚, url=/antalya}
{name=安卡拉, url=/ankara}
{name=雅典, url=/athens}
{name=爱丁堡, url=/edinburgh}
{name=亚历山大, url=/alexandria}
{name=亚斯文, url=/aswan}
{name=埃塞俄比亚, url=/ethiopia}
{name=安国市, url=/anguo}
{name=安新县, url=/anxin}
{name=安平县, url=/anping}
{name=安泽县, url=/anzhe}
{name=阿尔山市, url=/aershan}
{name=安图县, url=/antu}
{name=安达市, url=/anda}
{name=安吉县, url=/anji}
{name=安溪县, url=/anxi}
{name=安义县, url=/anyi}
{name=安远县, url=/anyuan}
{name=安福县, url=/anfu}
{name=安丘市, url=/anqiu}
{name=安阳县, url=/anyangxian}
{name=安陆市, url=/anlu}
{name=安乡县, url=/anxiang}
{name=安化县, url=/anhua}
{name=安仁县, url=/anren}
{name=安县, url=/anxian}
{name=安岳县, url=/anyue}
{name=理县, url=/ablixian}
{name=阿坝县, url=/abaxian}
{name=安龙县, url=/anliu}
{name=安宁市, url=/anning}
{name=安多县, url=/anduo}
{name=昂仁县, url=/angren}
{name=安塞县, url=/ansai}
{name=瓜州县, url=/anxixian}
{name=阿克塞哈萨克族自治县, url=/akesai}
{name=阿克苏市, url=/akesu}
{name=阿瓦提县, url=/awati}
{name=阿图什市, url=/atushi}
{name=阿克陶县, url=/aketao}
{name=阿合奇县, url=/aheqi}
{name=阿勒泰市, url=/aletai}
{name=阿鲁科尔沁旗, url=/aluqinqi}
{name=敖汉旗, url=/aohanqi}
{name=阿荣旗, url=/arongqi}
{name=阿巴嘎旗, url=/abagaqi}
{name=阿拉善左旗, url=/azuoqi}
{name=阿拉善右旗, url=/ayouqi}
{name=阿拉山口市, url=/alashankoushi}
{name=北京, url=/beijing}
{name=别府, url=/beppu}
{name=蒲甘, url=/bagan}
{name=不丹, url=/bhutan}
{name=伯利兹, url=/belize}
{name=保加利亚, url=/bulgarian}
{name=不列颠哥伦比亚省, url=/britishcolumbia}
{name=班夫国家公园, url=/banffpark}
{name=博茨瓦纳, url=/botswana}
{name=班加罗尔, url=/bangalore}
{name=巴淡岛, url=/batam}
{name=巴里巴板, url=/balikpapan}
{name=博德鲁姆, url=/bodrum}
{name=贝尔格莱德, url=/belgrade}
{name=巴德依舍, url=/badischl}
{name=孟加拉国, url=/bangladesh}
{name=巴德岗, url=/bhaktapur}
{name=巴哈马, url=/bahamas}
{name=巴巴多斯, url=/barbados}
{name=巴林, url=/bahrain}
{name=巴西, url=/brazil}
{name=布基纳法索, url=/burkinafaso}
{name=布隆迪, url=/burundi}
{name=不莱梅, url=/bremen}
{name=波恩, url=/bonn}
{name=贝希特斯加登, url=/berchtesgaden}
{name=巴登-巴登, url=/badenbaden}
{name=班贝格, url=/bamberg}
{name=博洛尼亚, url=/bologna}
{name=贝加莫, url=/bergamo}
{name=卑尔根, url=/bergen}
{name=布拉迪斯拉发, url=/bratislava}
{name=比利时, url=/belgium}
{name=布洛瓦, url=/blois}
{name=布列塔尼, url=/brittany}
{name=波尔多, url=/bordeaux}
{name=勃艮第, url=/burgundy}
{name=波斯尼亚和墨塞哥维那, url=/bohei}
{name=拜伦湾, url=/byronbay}
{name=玻利维亚, url=/bolivia}
{name=伯尔尼高地, url=/berneseoberland}
{name=巴塞尔, url=/basel}
{name=布里恩茨, url=/brienz}
{name=白俄罗斯, url=/belarus}
{name=百慕大, url=/bermuda}
{name=布加勒斯特, url=/bucharest}
{name=巴尔的摩, url=/baltimore}
{name=博伊西, url=/boise}
{name=巴吞鲁日, url=/batonrouge}
{name=水牛城, url=/buffalo}
{name=大瑟尔, url=/bigsur}
{name=伯克利, url=/berkeley}
{name=贝尔法斯特, url=/belfast}
{name=伯明翰, url=/birmingham}
{name=布莱顿, url=/brighton}
{name=布里斯托, url=/bristol}
{name=伯恩茅斯, url=/bournemouth}
{name=英属维尔京群岛, url=/britishvirginis}
{name=巴斯克自治区, url=/basquecountry}
{name=巴利阿里群岛, url=/balearicislands}
{name=毕尔巴鄂, url=/bilbao}
{name=贝宁, url=/benin}
{name=保定, url=/baoding}
{name=宝鸡, url=/baoji}
{name=包头, url=/baotou}
{name=蚌埠, url=/bengbu}
{name=北海, url=/beihai}
{name=本溪, url=/benxi}
{name=滨州, url=/binzhou}
{name=巴音郭楞, url=/bayinguoleng}
{name=亳州, url=/bozhou}
{name=白山, url=/baishan}
{name=保山, url=/baoshan}
{name=百色, url=/baise}
{name=白城, url=/baicheng}
{name=毕节地区, url=/bijiediqu}
{name=巴中, url=/bazhong}
{name=巴彦淖尔, url=/bayannaoer}
{name=白银, url=/baiyin}
{name=博尔塔拉, url=/boertala}
{name=北屯, url=/beitun}
{name=博鳌, url=/boao}
{name=白云山, url=/baiyunshan}
{name=曼谷, url=/bangkok}
{name=芭堤雅, url=/pattaya}
{name=釜山, url=/busan}
{name=北海道, url=/hokkaido}
{name=槟城, url=/penang}
{name=巴厘岛, url=/bali}
{name=万隆, url=/bandung}
{name=长滩岛, url=/boracay}
{name=巴拉望岛, url=/palawan}
{name=薄荷岛, url=/bohol}
{name=布里斯班, url=/brisbane}
{name=巴黎, url=/paris}
{name=波士顿, url=/boston}
{name=布鲁塞尔, url=/brussels}
{name=布鲁日, url=/bruges}
{name=柏林, url=/berlin}
{name=布拉格, url=/prague}
{name=布尔诺, url=/brno}
{name=伯尔尼, url=/bern}
{name=巴塞罗纳, url=/barcelona}
{name=布达佩斯, url=/budapest}
{name=比萨, url=/pisa}
{name=巴斯, url=/bath}
{name=比勒陀利亚, url=/pretoria}
